iter	MultiClass
311	0.06510840734
312	0.06496903736
313	0.06485008044
314	0.06475300176
315	0.06463664816
316	0.06452175456
317	0.06442098692
318	0.06429546672
319	0.06414926433
320	0.0640307287
321	0.06393657615
322	0.06385429448
323	0.0637449024
324	0.06365114706
325	0.06351281041
326	0.06343635386
327	0.06326132876
328	0.06313339363
329	0.06306040851
330	0.06295213305
331	0.06275581543
332	0.06264353258
333	0.06246629084
334	0.06236646421
335	0.06228404612
336	0.06217335837
337	0.06206638029
338	0.06197351409
339	0.06177455544
340	0.06156187683
341	0.06147635434
342	0.06135353405
343	0.06123102665
344	0.06113225035
345	0.06103343939
346	0.06092419135
347	0.06082681332
348	0.06063707789
349	0.06057159065
350	0.06046917797
351	0.06036830565
352	0.06012317167
353	0.06002276716
354	0.05992630414
355	0.05981827117
356	0.0597337866
357	0.05963889053
358	0.05953202038
359	0.05944393939
360	0.05936895833
361	0.05928604991
362	0.05922076319
363	0.05912628457
364	0.05905345548
365	0.05897347138
366	0.05889199093
367	0.05882217073
368	0.05872001528
369	0.05862746709
370	0.05854704565
371	0.05833144635
372	0.05825103781
373	0.05815839992
374	0.05795020337
375	0.05784591829
376	0.05767431668
377	0.05759817573
378	0.05751322539
379	0.05742513131
380	0.05732212544
381	0.05725370911
382	0.05719119084
383	0.05703580203
384	0.05695047275
385	0.0568602531
386	0.05677845435
387	0.0567108131
388	0.05665282451
389	0.05658931695
390	0.05652741369
391	0.05644988734
392	0.05636376732
393	0.05617092042
394	0.05608489269
395	0.05601495948
396	0.05595797786
397	0.05589827454
398	0.05569229413
399	0.05558157311
