iter	MultiClass
0	2.863829504
1	2.649870686
2	2.428232409
3	2.277869294
4	2.134686508
5	1.979405289
6	1.86989419
7	1.780457541
8	1.690841468
9	1.61617636
10	1.529700299
11	1.451438631
12	1.378005793
13	1.319794053
14	1.267453802
15	1.215576335
16	1.172165332
17	1.12598374
18	1.077799509
19	1.030748288
20	0.9906091045
21	0.9610282714
22	0.9273683934
23	0.8964991026
24	0.8681483243
25	0.837050615
26	0.8082745278
27	0.7870875357
28	0.7649912923
29	0.7412048636
30	0.7207836584
31	0.6976515883
32	0.6781534264
33	0.6575342172
34	0.6379133987
35	0.619365346
36	0.6080875848
37	0.591517086
38	0.5791559913
39	0.5613416985
40	0.5466568328
41	0.5311991674
42	0.5167816648
43	0.5021636128
44	0.49076277
45	0.4768644259
46	0.4648253273
47	0.4515965407
48	0.4412070246
49	0.4296605165
50	0.4213330301
51	0.4120632955
52	0.4034828263
53	0.3949052083
54	0.3859678301
55	0.376625398
56	0.3681396999
57	0.3595246093
58	0.3532572048
59	0.3447864067
60	0.3372847945
61	0.3313058797
62	0.3235012091
63	0.3189781122
64	0.31258144
65	0.3066106549
66	0.2998781268
67	0.2938199657
68	0.2886878854
69	0.2834737472
70	0.2780441999
71	0.2737856132
72	0.2683660872
73	0.2636517749
74	0.2593254443
75	0.254960029
76	0.2501069663
77	0.245243677
78	0.2411518775
79	0.238265302
80	0.2358392664
81	0.2328277919
82	0.2297041603
83	0.226248391
84	0.2227747399
85	0.2191248577
86	0.2161828074
87	0.2134200906
88	0.2104283226
89	0.2072475761
90	0.2046595779
91	0.201696394
92	0.1999060434
93	0.1967550809
94	0.1940758403
95	0.1914698687
96	0.1894201596
97	0.1874085503
98	0.1847490057
99	0.181965952
100	0.1798766009
101	0.1775385157
102	0.1751661608
103	0.1729737039
104	0.1707520318
105	0.1692856754
106	0.1676175461
107	0.1658205289
108	0.1640340001
109	0.1622263158
110	0.1602630056
111	0.1591011221
112	0.1575160683
113	0.1559724947
114	0.1542571849
115	0.1525501399
116	0.1509857263
117	0.1495594302
118	0.1482009295
119	0.1468906319
120	0.1458098455
121	0.1445083294
122	0.1430613957
123	0.1414932474
124	0.1405666683
125	0.1390621449
126	0.1380167694
127	0.1367981066
128	0.1355103835
129	0.1346564252
130	0.1336084425
131	0.1323468195
132	0.1315310817
133	0.1304219921
134	0.1294360596
135	0.1284699526
136	0.1274787588
137	0.1268026788
138	0.1256028014
139	0.1246949874
140	0.123828675
141	0.1226269527
142	0.1218843554
143	0.1210591256
144	0.1204993792
145	0.1198559507
146	0.119108165
147	0.1183028616
148	0.1173425566
149	0.1168636531
150	0.115909487
151	0.1150925099
152	0.1144486497
153	0.1136106394
154	0.1129097919
155	0.1120673699
156	0.1115302619
157	0.1108427006
158	0.1102496714
159	0.1097925479
160	0.108982141
161	0.1083933698
162	0.1078127372
163	0.1072368244
164	0.1067045473
165	0.1062976579
166	0.1056476217
167	0.1049899848
168	0.1045432116
169	0.1040494715
170	0.1034431582
171	0.1024998674
172	0.10197977
173	0.1014065075
174	0.100840943
175	0.1004642515
176	0.1000479188
177	0.0994759634
178	0.09894032301
179	0.09862545686
180	0.09818014062
181	0.0978504881
182	0.09724567594
183	0.09687366327
184	0.0965076621
185	0.09616262667
186	0.09566883428
187	0.0950164509
188	0.09448070017
189	0.09408706499
190	0.09379008488
191	0.09350573716
192	0.09319133937
193	0.09285464929
194	0.09256001253
195	0.09218025459
196	0.0917521992
197	0.09139654513
198	0.09107913181
199	0.09083164705
200	0.09044385009
201	0.09011117338
202	0.08954911148
203	0.08912998124
204	0.08879463537
205	0.08844704805
206	0.08818378285
207	0.08778376385
208	0.08747236753
209	0.08722657356
210	0.0869940778
211	0.08653798226
212	0.08615498886
213	0.0859411839
214	0.08560078273
215	0.08529382549
216	0.08492221436
217	0.0845103016
218	0.0841416413
219	0.08378905038
220	0.08345323183
221	0.0832804048
222	0.08305814244
223	0.0826733043
224	0.08228217369
225	0.08203966599
226	0.0818039326
227	0.08160451929
228	0.08134240097
229	0.08101002167
230	0.08076005659
231	0.08051872367
232	0.08032399845
233	0.08002266422
234	0.07979365292
235	0.07955424871
236	0.07939154523
237	0.07916690766
238	0.07889182043
239	0.07868783796
240	0.07837334684
241	0.07809907222
242	0.07773076145
243	0.07753160105
244	0.07735711728
245	0.07711485886
246	0.07685375524
247	0.07658306135
248	0.07631618634
249	0.07600124747
250	0.07560619188
251	0.07531155384
252	0.0750106887
253	0.07479157633
254	0.0746503157
255	0.07453946581
256	0.07435295842
257	0.07420620147
258	0.07402382109
259	0.07358716859
260	0.07333638318
261	0.07313570429
262	0.0729088922
263	0.07276063111
264	0.0724123681
265	0.07222715391
266	0.0720198228
267	0.0718089407
268	0.07168881317
269	0.0715563299
270	0.07143636131
271	0.07115641164
272	0.07102028941
273	0.07091254371
274	0.0707802125
275	0.07064576144
276	0.07053067777
277	0.07038293296
278	0.07023787503
279	0.07010267914
280	0.06986718948
281	0.06970432908
282	0.06953961126
283	0.06935153567
284	0.06916468525
285	0.06900579614
286	0.06885486061
287	0.06856964386
288	0.06840875665
289	0.0682747132
290	0.0681582891
291	0.06805594522
292	0.06794021485
293	0.06772179379
294	0.0675208942
295	0.06735505957
296	0.06716450412
297	0.06704512278
298	0.06693223081
299	0.06683589476
300	0.06673846253
301	0.06646305087
302	0.06629854978
303	0.06617903697
304	0.06600952246
305	0.06587614594
306	0.06570937653
307	0.06557664212
308	0.06546109731
309	0.06536520918
310	0.06523459346
